reps,fold,brier,slope,auc,model,Model
4,7,0.144260043,0.995329095,0.792746487,2,#NAME?
4,8,0.146609209,1.010867402,0.789820062,2,#NAME?
4,9,0.142757158,1.009506644,0.795407061,2,#NAME?
4,10,0.139858466,1.016049773,0.797946283,2,#NAME?
5,1,0.132568257,1.062507321,0.804069206,2,#NAME?
5,2,0.138106455,1.038298746,0.800036539,2,#NAME?
5,3,0.143704661,1.001286293,0.795963644,2,#NAME?
5,4,0.139264637,1.015525173,0.79564343,2,#NAME?
5,5,0.146511164,0.93956152,0.777662333,2,#NAME?
5,6,0.138165738,0.970064546,0.790270491,2,#NAME?
5,7,0.147880254,0.96290733,0.784245402,2,#NAME?
5,8,0.133272,1.019082634,0.804122177,2,#NAME?
5,9,0.146948844,0.91535514,0.778889932,2,#NAME?
5,10,0.142248805,0.99325693,0.788641601,2,#NAME?
1,1,0.139683622,1.003633394,0.793569147,3,+ not recorded 1 
1,2,0.13959811,0.988552897,0.796753596,3,+ not recorded 1 
1,3,0.138694063,0.998986443,0.79574083,3,+ not recorded 1 
1,4,0.133546006,1.031213416,0.801366271,3,+ not recorded 1 
1,5,0.130869926,1.035093096,0.8003802,3,+ not recorded 1 
1,6,0.143409422,1.006816723,0.791546316,3,+ not recorded 1 
1,7,0.147364503,0.940159539,0.787452429,3,+ not recorded 1 
1,8,0.14308922,0.951587011,0.783605247,3,+ not recorded 1 
1,9,0.134644282,1.057301946,0.804994197,3,+ not recorded 1 
1,10,0.148284429,0.920009975,0.781094602,3,+ not recorded 1 
2,1,0.143185718,1.015612797,0.800315708,3,+ not recorded 1 
2,2,0.13801912,0.965262727,0.785891306,3,+ not recorded 1 
2,3,0.138774217,1.018100453,0.801154662,3,+ not recorded 1 
2,4,0.142921738,0.935156058,0.780081542,3,+ not recorded 1 
2,5,0.142043015,1.066971781,0.801778685,3,+ not recorded 1 
2,6,0.133340771,1.010918023,0.797080593,3,+ not recorded 1 
2,7,0.139425637,0.972863286,0.795513132,3,+ not recorded 1 
2,8,0.141288525,0.978584371,0.789667748,3,+ not recorded 1 
2,9,0.140810569,0.981520825,0.790496833,3,+ not recorded 1 
2,10,0.142541545,0.977697016,0.791045679,3,+ not recorded 1 
3,1,0.137910976,1.014596018,0.801192324,3,+ not recorded 1 
3,2,0.14206705,0.925153539,0.777851828,3,+ not recorded 1 
3,3,0.139703406,1.050472935,0.799403044,3,+ not recorded 1 
3,4,0.140904924,0.962989935,0.789303796,3,+ not recorded 1 
3,5,0.146590143,0.98002603,0.790278896,3,+ not recorded 1 
3,6,0.144739001,0.940549084,0.782631537,3,+ not recorded 1 
3,7,0.129604525,1.024669587,0.809891024,3,+ not recorded 1 
3,8,0.13271736,1.069057849,0.805055576,3,+ not recorded 1 
3,9,0.144850609,1.015445979,0.799423185,3,+ not recorded 1 
3,10,0.145722958,0.956066623,0.782042483,3,+ not recorded 1 
4,1,0.144661164,0.959595322,0.785475644,3,+ not recorded 1 
4,2,0.138787581,0.984383463,0.788273139,3,+ not recorded 1 
4,3,0.134896567,1.018804905,0.803683333,3,+ not recorded 1 
4,4,0.132249634,0.966027266,0.787446102,3,+ not recorded 1 
4,5,0.139025275,0.981962109,0.794842803,3,+ not recorded 1 
4,6,0.139969608,0.984788668,0.792480251,3,+ not recorded 1 
4,7,0.14352829,1.001838409,0.795336183,3,+ not recorded 1 
4,8,0.146345126,1.005856134,0.790478666,3,+ not recorded 1 
4,9,0.142970162,1.003593356,0.795355448,3,+ not recorded 1 
4,10,0.139418327,1.009309158,0.798934641,3,+ not recorded 1 
5,1,0.132253291,1.057305098,0.805314391,3,+ not recorded 1 
5,2,0.137980002,1.032263087,0.800178172,3,+ not recorded 1 
