Model_number,reps,fold,brier,slope,auc,Variables,Penalty,Model,Approach
3,3,5,0.148773635,0.960766778,0.785242452,B + CCI,,Cox,Cox
3,3,6,0.148347574,0.900792229,0.775092911,B + CCI,,Cox,Cox
3,3,7,0.134314747,1.011287849,0.803497124,B + CCI,,Cox,Cox
3,3,8,0.137338858,1.030947961,0.79447464,B + CCI,,Cox,Cox
3,3,9,0.148260245,0.976693811,0.789866465,B + CCI,,Cox,Cox
3,3,10,0.150780259,0.901243358,0.771086572,B + CCI,,Cox,Cox
3,4,1,0.148090005,0.920926675,0.776924276,B + CCI,,Cox,Cox
3,4,2,0.144836968,0.94477243,0.778302521,B + CCI,,Cox,Cox
3,4,3,0.139245745,0.964696303,0.789239653,B + CCI,,Cox,Cox
3,4,4,0.136949903,0.960670192,0.780820704,B + CCI,,Cox,Cox
3,4,5,0.141283342,0.966769829,0.788837154,B + CCI,,Cox,Cox
3,4,6,0.146607856,0.923806184,0.777094638,B + CCI,,Cox,Cox
3,4,7,0.147362521,0.976513984,0.783850831,B + CCI,,Cox,Cox
3,4,8,0.151167275,0.921583857,0.780880241,B + CCI,,Cox,Cox
3,4,9,0.145135451,0.993885875,0.788638098,B + CCI,,Cox,Cox
3,4,10,0.14381816,0.975792727,0.787650117,B + CCI,,Cox,Cox
3,5,1,0.137897962,1.002348369,0.795208565,B + CCI,,Cox,Cox
3,5,2,0.141382648,0.986602138,0.790968707,B + CCI,,Cox,Cox
3,5,3,0.147092928,0.951701007,0.784803559,B + CCI,,Cox,Cox
3,5,4,0.143470748,0.965864797,0.784696226,B + CCI,,Cox,Cox
3,5,5,0.149974352,0.912762888,0.771105158,B + CCI,,Cox,Cox
3,5,6,0.142231661,0.946885054,0.780046382,B + CCI,,Cox,Cox
3,5,7,0.149480968,0.973758697,0.779023642,B + CCI,,Cox,Cox
3,5,8,0.137734213,0.984301373,0.796807936,B + CCI,,Cox,Cox
3,5,9,0.151349782,0.879316339,0.7684066,B + CCI,,Cox,Cox
3,5,10,0.14758947,0.935504898,0.778907921,B + CCI,,Cox,Cox
4,1,1,0.142253084,1.013479474,0.783974216,B + CCI,,Logistic,Logistic
4,1,2,0.14113485,1.014946861,0.787554171,B + CCI,,Logistic,Logistic
4,1,3,0.140032902,1.051454144,0.790903075,B + CCI,,Logistic,Logistic
4,1,4,0.137474968,0.989108363,0.78718772,B + CCI,,Logistic,Logistic
4,1,5,0.132663303,1.039150796,0.792690519,B + CCI,,Logistic,Logistic
4,1,6,0.146730373,0.996023791,0.782488014,B + CCI,,Logistic,Logistic
4,1,7,0.149797775,0.955665652,0.777003866,B + CCI,,Logistic,Logistic
4,1,8,0.146360131,0.957177274,0.774027714,B + CCI,,Logistic,Logistic
4,1,9,0.138616795,1.033490936,0.793025746,B + CCI,,Logistic,Logistic
4,1,10,0.149431065,0.954213736,0.773948759,B + CCI,,Logistic,Logistic
4,2,1,0.146473817,1.008705547,0.786294947,B + CCI,,Logistic,Logistic
4,2,2,0.142238577,0.932529033,0.769846148,B + CCI,,Logistic,Logistic
4,2,3,0.140360402,1.053383967,0.797277938,B + CCI,,Logistic,Logistic
4,2,4,0.144874838,0.952266073,0.774594688,B + CCI,,Logistic,Logistic
4,2,5,0.144503855,1.09204729,0.796368487,B + CCI,,Logistic,Logistic
4,2,6,0.136296408,1.01105164,0.786911645,B + CCI,,Logistic,Logistic
4,2,7,0.142556677,0.971810796,0.783711751,B + CCI,,Logistic,Logistic
4,2,8,0.143145595,0.999726382,0.782299866,B + CCI,,Logistic,Logistic
4,2,9,0.14336456,0.984827826,0.779757107,B + CCI,,Logistic,Logistic
4,2,10,0.144622954,0.985391811,0.779556815,B + CCI,,Logistic,Logistic
4,3,1,0.139831749,1.019977485,0.789107264,B + CCI,,Logistic,Logistic
4,3,2,0.143676768,0.943388181,0.771499317,B + CCI,,Logistic,Logistic
4,3,3,0.144409449,1.033194455,0.786469594,B + CCI,,Logistic,Logistic
4,3,4,0.144621814,0.950397836,0.773911933,B + CCI,,Logistic,Logistic
4,3,5,0.14709556,1.016299751,0.785856407,B + CCI,,Logistic,Logistic
4,3,6,0.146642537,0.943328922,0.775150125,B + CCI,,Logistic,Logistic
4,3,7,0.130439481,1.079914547,0.804256811,B + CCI,,Logistic,Logistic
4,3,8,0.135487461,1.063545116,0.794473601,B + CCI,,Logistic,Logistic
4,3,9,0.148314526,1.013864026,0.789648822,B + CCI,,Logistic,Logistic
4,3,10,0.149718303,0.947343839,0.771620182,B + CCI,,Logistic,Logistic
4,4,1,0.14620314,0.970472032,0.777147414,B + CCI,,Logistic,Logistic
4,4,2,0.142371209,0.981878124,0.778293941,B + CCI,,Logistic,Logistic
4,4,3,0.137901823,1.004049244,0.789801989,B + CCI,,Logistic,Logistic
4,4,4,0.133947496,1.004961706,0.781788555,B + CCI,,Logistic,Logistic
4,4,5,0.139897751,1.008702284,0.790072369,B + CCI,,Logistic,Logistic
4,4,6,0.144282079,0.974760299,0.778320721,B + CCI,,Logistic,Logistic
4,4,7,0.147282666,1.008137,0.784125842,B + CCI,,Logistic,Logistic
4,4,8,0.149747225,0.984300976,0.781192487,B + CCI,,Logistic,Logistic
4,4,9,0.144082603,1.034836789,0.789251992,B + CCI,,Logistic,Logistic
4,4,10,0.141729817,1.016634222,0.788032356,B + CCI,,Logistic,Logistic
4,5,1,0.135084027,1.059344458,0.795091822,B + CCI,,Logistic,Logistic
4,5,2,0.140025515,1.034519013,0.791365367,B + CCI,,Logistic,Logistic
4,5,3,0.146840216,0.991534147,0.785275114,B + CCI,,Logistic,Logistic
4,5,4,0.141513227,1.010178202,0.785481996,B + CCI,,Logistic,Logistic
4,5,5,0.148583655,0.948088117,0.771402154,B + CCI,,Logistic,Logistic
4,5,6,0.140403716,0.985900994,0.781441655,B + CCI,,Logistic,Logistic
