"","Probability_cutoff","Proportion","Measure"
"12399",0.793360561775692,0.779087516960651,"NPV"
"12520",0.752230342556111,0.78442292862651,"NPV"
"12642",0.714184219234227,0.79019828556585,"NPV"
"12763",0.682025498025419,0.794627231361568,"NPV"
"12885",0.658747050374687,0.799310100831417,"NPV"
"13007",0.633365844025739,0.803558655221745,"NPV"
"13128",0.605429102106536,0.807918286179156,"NPV"
"13250",0.583430329083773,0.811808792614935,"NPV"
"13371",0.560900915032479,0.815896487985213,"NPV"
"13493",0.539078073700193,0.819966348850252,"NPV"
"13614",0.520760929378469,0.824241278245249,"NPV"
"13736",0.503341008341333,0.828104074995217,"NPV"
"13857",0.482869374218912,0.831994580470338,"NPV"
"13979",0.463597181584243,0.836352952698071,"NPV"
"14100",0.447740124551681,0.839147670961348,"NPV"
"14222",0.432346894738886,0.84169341894061,"NPV"
"14343",0.416934953856186,0.844622727734335,"NPV"
"14465",0.405855355909043,0.847712082262211,"NPV"
"14587",0.391769499513399,0.850984067478913,"NPV"
"14708",0.380150467397494,0.854988399071926,"NPV"
"14830",0.369327233366226,0.858226495726496,"NPV"
"14951",0.358139523933174,0.860807446693365,"NPV"
"15073",0.34787004861886,0.864319403312493,"NPV"
"15194",0.336805658392107,0.867607825700311,"NPV"
"15316",0.325999736102557,0.870182555780933,"NPV"
"15437",0.316441830424522,0.87250085684908,"NPV"
"15559",0.307717397943242,0.875217240180744,"NPV"
"15680",0.297884604169172,0.878730904817861,"NPV"
"15802",0.289211637566422,0.881974248927039,"NPV"
"15923",0.281484559920971,0.884359501632999,"NPV"
"16045",0.273246459386517,0.885942295887047,"NPV"
"16167",0.265028983024833,0.888321076903901,"NPV"
"16288",0.257718845998856,0.890787142495571,"NPV"
"16410",0.251038848226271,0.891645244215938,"NPV"
"16531",0.243267432215137,0.893066980023502,"NPV"
"16653",0.235756601548605,0.893989651054796,"NPV"
"16774",0.229171587868335,0.896035598705502,"NPV"
"16896",0.222915747629838,0.898135453797642,"NPV"
"17017",0.216169748292421,0.900320646870208,"NPV"
"17139",0.209707766474853,0.902425187916608,"NPV"
"17260",0.204873773657868,0.903751803751804,"NPV"
"17382",0.198767636965889,0.904377203290247,"NPV"
"17503",0.194113216780662,0.906235980260206,"NPV"
"17625",0.18882417309248,0.908301599390708,"NPV"
"17747",0.184705010602919,0.910445444668633,"NPV"
"17868",0.179417090152886,0.911104080987029,"NPV"
"17990",0.175540038957946,0.912903225806452,"NPV"
"18111",0.170370907762945,0.915268180322474,"NPV"
"18233",0.165844804147676,0.917897918065816,"NPV"
"18354",0.161358098732385,0.919622964867181,"NPV"
"18476",0.157211944454547,0.921407316646245,"NPV"
"18597",0.152334247961405,0.921852646638054,"NPV"
"18719",0.148343045076069,0.923034734917733,"NPV"
"18840",0.144953923790978,0.925967470555244,"NPV"
"18962",0.141202109532582,0.927874497799885,"NPV"
"19083",0.13775845470819,0.930278104191148,"NPV"
"19205",0.132848270649928,0.930965281958659,"NPV"
"19326",0.129101775530244,0.931715343480049,"NPV"
"19448",0.125366169447823,0.932278481012658,"NPV"
"19570",0.121619628790695,0.932438284971849,"NPV"
"19691",0.118783967407116,0.934623082054703,"NPV"
"19813",0.11572172780239,0.936228571428571,"NPV"
"19934",0.112344159428157,0.93935119887165,"NPV"
"20056",0.109087790013815,0.941674733785092,"NPV"
"20177",0.106346331306357,0.942657691348791,"NPV"
"20299",0.103537754384079,0.943687323219337,"NPV"
"20420",0.100654829624596,0.945594479830149,"NPV"
"20542",0.0979443535763288,0.947065277015908,"NPV"
"20663",0.0948345367864549,0.948085106382979,"NPV"
"20785",0.0919994363479295,0.950337937114311,"NPV"
"20906",0.0896990114805528,0.950030469226082,"NPV"
"21028",0.0866707913038274,0.951898734177215,"NPV"
"21150",0.0840984133049806,0.954246214614878,"NPV"
"21271",0.0815465731287502,0.955433664724032,"NPV"
"21393",0.0787299920568312,0.956708407871199,"NPV"
"21514",0.0761714896456236,0.958863126402393,"NPV"
"21636",0.073657885812213,0.959639498432602,"NPV"
"21757",0.07118134277611,0.960921431509667,"NPV"
"21879",0.069100831434569,0.961455175400606,"NPV"
"22000",0.0665068130923437,0.962979890310786,"NPV"
"22122",0.0643415020297783,0.965634075508228,"NPV"
"22243",0.0618424844853541,0.966580976863753,"NPV"
"22365",0.0591349002439234,0.970927043335162,"NPV"
"22486",0.0568686880688233,0.973560517038778,"NPV"
"22608",0.0545814968213573,0.975316455696203,"NPV"
"22730",0.0525186076214922,0.976680384087791,"NPV"
"22851",0.0501578876456156,0.978309648466717,"NPV"
"22973",0.0478364447156104,0.979423868312757,"NPV"
"23094",0.0453239284314203,0.981718464351006,"NPV"
"23216",0.0429249732173574,0.98559670781893,"NPV"
"23337",0.040404223219613,0.987074030552291,"NPV"
"23459",0.0377872256074507,0.989026063100137,"NPV"
"23580",0.0352625621772297,0.990131578947368,"NPV"
"23702",0.0324253036189958,0.989711934156379,"NPV"
"23823",0.0296799421610709,0.989041095890411,"NPV"
"23945",0.0256471799909185,0.987654320987654,"NPV"
"24066",0.0204135351877243,0.983606557377049,"NPV"
"24188",0.009063029513807,NA,"NPV"
