reps,fold,brier,slope,auc,runtime,model,Model_number
3,7,0.14457081,0.93695795,0.805803596,0.372072935,5,5
3,8,0.143595142,0.986296528,0.797435298,0.372560501,5,5
3,9,0.151455224,0.934260822,0.795333059,0.376828671,5,5
3,10,0.154488643,0.873926954,0.775739536,0.370063782,5,5
4,1,0.154899611,0.865404327,0.779293212,1.9402318,5,5
4,2,0.150341973,0.912590414,0.782094384,0.370549202,5,5
4,3,0.14442043,0.921660576,0.79391929,0.373652697,5,5
4,4,0.144804673,0.904689777,0.783043883,0.379379511,5,5
4,5,0.147654226,0.901229341,0.788432789,0.377697706,5,5
4,6,0.152961979,0.869571862,0.780145605,0.374365807,5,5
4,7,0.150737381,0.926836362,0.78667518,0.378449678,5,5
4,8,0.156044524,0.903816192,0.78432597,3.709209919,5,5
4,9,0.150263743,0.946899822,0.790523577,3.705105782,5,5
4,10,0.151762112,0.913522856,0.790169929,0.369004488,5,5
5,1,0.144576508,0.967519007,0.798363254,0.377304077,5,5
5,2,0.148157415,0.931168158,0.793328831,0.374751568,5,5
5,3,0.150838192,0.913478208,0.787138383,0.382582188,5,5
5,4,0.14904993,0.924242799,0.789625097,0.373380423,5,5
5,5,0.15611233,0.864295663,0.772933901,0.382921696,5,5
5,6,0.148085566,0.897896845,0.783266502,1.945229053,5,5
5,7,0.155961493,0.900995941,0.78075212,0.386927605,5,5
5,8,0.145719662,0.908682545,0.798226709,0.374671936,5,5
5,9,0.156918124,0.829080362,0.769846147,0.377939224,5,5
5,10,0.152745384,0.914117081,0.782758393,0.380203009,5,5
1,1,0.142382412,0.997118111,0.783613231,1.717717409,6,6
1,2,0.140722635,0.997581309,0.789117689,0.147010326,6,6
1,3,0.139056845,1.035597845,0.791987286,0.148463488,6,6
1,4,0.134945258,1.043839226,0.795360372,0.148153067,6,6
1,5,0.132611508,1.046998402,0.794353742,0.145725965,6,6
1,6,0.145611943,0.997362107,0.785012373,0.146440029,6,6
1,7,0.149282829,0.951220675,0.780184741,0.142769098,6,6
1,8,0.144695965,0.973060399,0.777668546,0.144770384,6,6
1,9,0.137423394,1.036771241,0.798404284,0.145595551,6,6
1,10,0.149472,0.932248514,0.774264013,0.145801067,6,6
2,1,0.144935445,1.023782379,0.792337478,0.146214485,6,6
2,2,0.139689469,0.966564724,0.777019878,0.146790504,6,6
2,3,0.140800592,1.027580486,0.794033735,0.145197868,6,6
2,4,0.143324416,0.971572184,0.778087329,0.148606777,6,6
2,5,0.143644234,1.079067918,0.796780074,0.14744091,6,6
2,6,0.135964097,1.007534692,0.790099644,0.15772891,6,6
2,7,0.141443951,0.966013323,0.788079544,0.148361921,6,6
2,8,0.142699921,0.998141038,0.78307997,0.147314548,6,6
2,9,0.142388876,0.984761694,0.783596775,0.146026134,6,6
2,10,0.14523458,0.965376975,0.780439884,0.147696733,6,6
3,1,0.139781799,1.017579717,0.791799436,0.149148703,6,6
3,2,0.143441228,0.930341759,0.771678102,0.142943144,6,6
3,3,0.14321808,1.0247117,0.788889643,0.145348787,6,6
3,4,0.143467129,0.965916031,0.778859624,0.148099899,6,6
3,5,0.148128969,0.98927887,0.783690919,0.149446964,6,6
3,6,0.145748056,0.956005304,0.776729418,0.146972656,6,6
3,7,0.130535525,1.063189016,0.806359362,0.14481616,6,6
3,8,0.134289741,1.069210429,0.797679046,0.146783829,6,6
3,9,0.14616201,1.029773586,0.795388998,0.149721384,6,6
3,10,0.147728607,0.963450129,0.776651783,0.145961761,6,6
4,1,0.146234524,0.963008831,0.779289789,0.148120165,6,6
4,2,0.140358879,0.994451589,0.782049925,0.146490097,6,6
4,3,0.137000815,1.015516117,0.794896006,0.147615671,6,6
4,4,0.133346612,0.993528617,0.784065899,0.148948908,6,6
4,5,0.140015346,0.988425504,0.788961199,0.147263765,6,6
4,6,0.143270641,0.970659302,0.78111335,0.146661997,6,6
4,7,0.145654005,1.009816407,0.786925977,0.149018526,6,6
4,8,0.148438275,1.004396374,0.784960172,0.1496346,6,6
4,9,0.143525525,1.035796632,0.791073575,0.148847818,6,6
4,10,0.141667393,1.014927523,0.790536189,0.145502567,6,6
5,1,0.134028994,1.071419772,0.798560819,0.147687674,6,6
